U,Voxel,Ny,Cells,RPM,TSR,Cp_corr,Cd,Power_W,t_conv,t_phys
3.00000000,medium,120,6480000,1.19999992E2,2.0944,0.2246,1.0825,14.12,40100,6.6833
3.00000000,medium,120,6480000,1.50000000E2,2.6180,0.2423,1.1657,15.23,40050,6.6750
3.00000000,medium,120,6480000,1.79999992E2,3.1416,0.2349,1.1422,14.76,40100,6.6833
3.00000000,medium,120,6480000,2.09999990E2,3.6652,0.2214,1.0667,13.92,40100,6.6833
5.00000000,medium,120,6480000,2.00000000E2,2.0944,0.2750,1.3327,80.03,40550,4.0550
5.00000000,medium,120,6480000,2.50000000E2,2.6180,0.2945,1.4285,85.69,42650,4.2650
5.00000000,medium,120,6480000,3.00000000E2,3.1416,0.2854,1.3731,83.04,40150,4.0150
5.00000000,medium,120,6480000,3.39999984E2,3.5605,0.2706,1.3122,78.73,43500,4.3500
1.00000000E1,medium,120,6480000,4.00000000E2,2.0944,0.3348,1.6221,779.46,41950,2.0975
1.00000000E1,medium,120,6480000,5.00000000E2,2.6180,0.3533,1.7088,822.40,40300,2.0150
1.00000000E1,medium,120,6480000,6.00000000E2,3.1416,0.3370,1.6240,784.57,41450,2.0725
